639.419	687.288	5.935	0.0002	2	8	0.5	0.5
639.419	689.826	6.25	0.0006	2	8	0.5	1.5
548.015	600.635	6.524	0.0007	2	8	0.5	1.5
548.015	601.515	6.633	0.0001	2	8	0.5	0.5
548.015	613.981	8.179	0.0042	2	8	0.5	1.5
556.32	624.553	8.46	0.0002	2	8	0.5	0.5
556.32	626.449	8.695	0.0003	2	8	0.5	1.5
556.32	629.129	9.027	0.0018	2	8	0.5	0.5
548.015	621.072	9.058	0.002	2	8	0.5	0.5
556.32	632.286	9.419	0.0004	2	8	0.5	1.5
548.015	624.374	9.467	0.0019	2	8	0.5	1.5
639.419	715.932	9.487	0.002	2	8	0.5	1.5
548.015	624.553	9.49	0.0014	2	8	0.5	0.5
548.015	625.101	9.558	0.0005	2	8	0.5	0.5
515.537	593.696	9.691	0.0003	2	8	0.5	1.5
515.537	594.405	9.779	0.0005	2	8	0.5	1.5
548.015	627.083	9.803	0.0006	2	8	0.5	1.5
515.537	594.858	9.835	0.0013	2	8	0.5	0.5
556.32	635.777	9.852	0.0017	2	8	0.5	1.5
503.805	585.2	10.092	0.0002	2	8	0.5	1.5
503.805	585.215	10.094	0.0002	2	8	0.5	0.5
639.419	721.11	10.128	0.0009	2	1	0.5	1.5
548.015	629.851	10.146	0.0004	2	8	0.5	1.5
515.537	598.42	10.276	0.0002	2	8	0.5	1.5
556.32	639.597	10.325	0.0025	2	8	0.5	0.5
556.32	640.47	10.433	0.0011	2	8	0.5	1.5
548.015	632.286	10.448	0.0007	2	8	0.5	1.5
510.417	594.858	10.469	0.0002	2	8	0.5	0.5
548.015	632.691	10.499	0.0003	2	8	0.5	0.5
556.32	641.289	10.535	0.0005	2	8	0.5	0.5
515.537	600.635	10.551	0.0005	2	8	0.5	1.5
556.32	641.561	10.569	0.0012	2	8	0.5	1.5
515.537	601.515	10.66	0.0028	2	8	0.5	0.5
527.133	613.981	10.768	0.0006	2	8	0.5	1.5
556.32	643.567	10.817	0.0055	2	8	0.5	1.5
548.015	635.777	10.881	0.0001	2	8	0.5	1.5
639.419	727.197	10.883	0.0534	2	8	0.5	1.5
510.417	598.42	10.911	0.0001	2	8	0.5	1.5
556.32	644.361	10.916	0.0051	2	8	0.5	0.5
639.419	728.256	11.015	0.043	2	8	0.5	0.5
503.805	593.696	11.145	0.001	2	8	0.5	1.5
556.32	646.27	11.152	0.0039	2	8	0.5	1.5
