10.97404	3261
10.98422	3306
10.99439	3333
11.00457	3331
11.01474	3313
11.02491	3329
11.03507	3335
11.04523	3350
11.05539	3348
11.06555	3377
11.0757	3361
11.08585	3383
11.096	3411
11.10614	3389
11.11628	3443
11.12642	3459
11.13655	3515
11.14668	3558
11.15681	3631
11.16693	3771
11.17705	3814
11.18717	3834
11.19728	3911
11.20739	3926
11.2175	3933
11.22761	4023
11.23771	4110
11.24781	4112
11.2579	4202
11.26799	4229
11.27808	4244
11.28817	4259
11.29825	4238
11.30833	4265
11.31841	4320
11.32848	4385
11.33855	4359
11.34862	4371
11.35868	4343
11.36874	4346
11.3788	4340
11.38885	4387
11.3989	4454
11.40895	4526
11.41899	4571
11.42904	4535
11.43907	4558
11.44911	4531
11.45914	4563
11.46917	4563
11.4792	4534
11.48922	4506
11.49924	4488
11.50925	4457
11.51927	4454
11.52928	4479
11.53928	4419
11.54929	4390
11.55929	4316
11.56928	4347
11.57928	4331
11.58927	4316
11.59926	4237
11.60924	4195
11.61922	4135
11.6292	4107
11.63917	4027
11.64915	4006
11.65912	3954
11.66908	3936
11.67904	3931
11.689	3907
11.69896	3900
11.70891	3865
11.71886	3809
11.72881	3771
11.73875	3723
11.74869	3708
11.75863	3696
11.76856	3757
11.77849	3771
11.78842	3713
11.79834	3684
11.80826	3711
11.81818	3783
11.8281	3842
11.83801	3855
11.84792	3897
11.85782	3961
11.86772	3953
11.87762	3955
11.88752	3970
11.89741	3920
11.9073	3881
11.91719	3910
11.92707	3900
11.93695	3897
11.94683	3878
11.9567	3866
11.96657	3893
11.97644	3840
11.9863	3819
11.99616	3774
12.00602	3757
12.01587	3744
12.02573	3770
12.03557	3760
12.04542	3721
12.05526	3719
12.0651	3703
12.07494	3691
12.08477	3663
12.0946	3652
12.10442	3707
12.11425	3708
12.12407	3718
12.13388	3692
12.1437	3705
12.15351	3709
12.16331	3663
12.17312	3681
12.18292	3680
12.19272	3730
12.20251	3782
12.2123	3780
12.22209	3783
12.23187	3732
12.24166	3655
12.25143	3627
12.26121	3595
12.27098	3607
12.28075	3594
12.29052	3559
12.30028	3548
12.31004	3557
12.3198	3522
12.32955	3512
12.3393	3522
12.34905	3562
12.35879	3597
12.36853	3571
12.37827	3637
12.388	3671
12.39773	3643
12.40746	3677
12.41718	3711
12.42691	3668
12.43662	3659
12.44634	3657
12.45605	3639
12.46576	3642
12.47547	3695
12.48517	3627
12.49487	3646
12.50456	3695
12.51426	3665
12.52395	3648
12.53363	3678
12.54332	3678
12.553	3709
12.56268	3681
12.57235	3667
12.58202	3668
12.59169	3677
12.60135	3693
12.61101	3692
12.62067	3697
12.63033	3723
12.63998	3699
12.64963	3710
12.65927	3693
12.66892	3714
12.67855	3697
12.68819	3706
12.69782	3691
12.70745	3689
12.71708	3716
12.7267	3705
12.73632	3690
12.74594	3696
12.75555	3730
12.76516	3736
12.77477	3742
12.78438	3740
12.79398	3775
12.80358	3813
12.81317	3843
12.82276	3848
12.83235	3905
12.84194	3934
12.85152	3954
12.8611	3998
12.87067	4083
12.88025	4136
12.88981	4176
12.89938	4209
12.90894	4260
12.9185	4310
12.92806	4332
12.93761	4328
12.94717	4373
12.95671	4413
12.96626	4440
12.9758	4487
12.98534	4523
12.99487	4554
13.0044	4616
13.01393	4599
13.02346	4614
13.03298	4599
13.0425	4671
13.05201	4640
13.06152	4614
13.07103	4672
13.08054	4626
13.09004	4667
13.09954	4568
13.10904	4624
13.11853	4649
13.12802	4648
13.13751	4649
13.14699	4630
13.15647	4530
13.16595	4556
13.17543	4584
13.1849	4575
13.19437	4527
13.20383	4601
13.21329	4591
13.22275	4591
13.23221	4519
13.24166	4501
13.25111	4451
13.26055	4249
13.27	4467
13.27944	4467
13.28887	4436
13.29831	4418
13.30774	4435
13.31716	4410
13.32659	4454
13.33601	4473
13.34543	4437
13.35484	4360
13.36425	4450
13.37366	4427
13.38306	4409
13.39247	4394
13.40186	4371
13.41126	4397
13.42065	4334
13.43004	4312
13.43943	4352
13.44881	4340
13.45819	4305
13.46756	4225
13.47694	4248
13.48631	4204
13.49567	4162
13.50504	4187
13.5144	4138
13.52376	4077
13.53311	4048
13.54246	4127
13.55181	4056
13.56115	4032
13.57049	4012
13.57983	4000
13.58917	4002
13.5985	4021
13.60783	4027
13.61715	3987
13.62648	4009
13.6358	3966
13.64511	3882
13.65442	3871
13.66373	3894
13.67304	3937
13.68234	3943
13.69164	3944
13.70094	3933
13.71024	3886
13.71953	3859
13.72881	3804
13.7381	3775
13.74738	3797
13.75666	3716
13.76593	3679
13.7752	3582
13.78447	3547
13.79374	3548
13.803	3430
13.81226	3340
13.82152	3296
